FOLDERYEAR,BusinessName,BusinessTradeName,BusinessType,BusinessSubType,Address,City,LocalArea,NumberofEmployees,FeePaid
24,Ascent Employment Law Corporation,Ascent Employment Law,Office,Barrister & Solicitor,,Vancouver,Kitsilano,8.0,250.0
24,1235355 BC Ltd,Perpetual Insurance Services,Office,Insurance Company,5606 VICTORIA DRIVE,Vancouver,Kensington-Cedar Cottage,8.0,250.0
24,(Judy Stoyko),Judy Stoyko Landscape Architecture,Office,Architect,,Vancouver,Hastings-Sunrise,6.0,250.0
24,TurnFit Personal Trainers Ltd,,Office,Administration,,Vancouver,,1.0,250.0
24,(Gongjin Chen),,Office,Consultant,,Vancouver,Downtown,1.0,250.0
24,Venus Corporate Services Inc,,Office,Administration,1180  625 HOWE ST,Vancouver,Downtown,1.0,250.0
24,Peak Investor Marketing Corp,,Office,Advertising Agent,420 Unit 625 HOWE ST,Vancouver,Downtown,4.0,250.0
24,(Jamie O'Sullivan),Mac Tire Consulting,Office,Consultant,,Vancouver,Downtown,1.0,250.0
24,Blue Spring Consulting Inc,,Office,Consultant,,Vancouver,Sunset,2.0,250.0
24,Persa Holdings Inc,Burgerholic,Office,Street Vendor,302 INDUSTRIAL AV,Vancouver,Strathcona,2.0,250.0
24,Mustel Research Group Ltd,,Office,Administration,,Vancouver,Dunbar-Southlands,6.0,250.0
24,Young Engineering Corporation,,Office,Consultant,,Vancouver,Mount Pleasant,1.0,250.0
24,Caam Immigration Inc,Caam Immigration Law Consultation Service,Office,Consultant,908 Unit 938 HOWE ST,Vancouver,Downtown,2.0,250.0
24,Greg Dowling Architect Inc,,Office,Architect,,Vancouver,Downtown,1.0,250.0
24,Highgold Mining Inc,,Office,Mining Exploration,405 Unit 375 WATER ST,Vancouver,Downtown,10.0,292.0
24,Anew Immigration Consulting Ltd,,Office,Consultant,500 Unit 666 BURRARD ST,Vancouver,Downtown,2.0,250.0
24,Melanie Vipond Law Corporation,Gall Legge Grant Zwack LLP,Office,Barrister & Solicitor,1000 Unit 1199 W HASTINGS ST,Vancouver,Downtown,1.0,250.0
24,Batik Resources Ltd,,Office,Mining Exploration,480 Unit 1500 W GEORGIA ST,Vancouver,West End,3.0,503.0
24,Fintools Software Ltd,,Office,Consultant,,Vancouver,Kensington-Cedar Cottage,2.0,250.0
24,(Leisha Murphy),MK Law LLP / Connect Family Law,Office,Barrister & Solicitor,105 Unit 1333 W BROADWAY,Vancouver,Fairview,10.0,250.0
24,Integro Wellness Inc,Integro Wellness,Office,Consultant,1502L Unit 1600 BEACH AV,Vancouver,West End,1.0,250.0
24,Brian E T Tsuji Law Corporation,Brian Edward Tadayoshi Tsuji,Office,Barrister & Solicitor,,Vancouver,Kitsilano,1.0,250.0
24,Well Put Together Enterprises Inc,,Office,Other,,Vancouver,Downtown,1.0,250.0
24,HUB International Canada West ULC,HUB International Insurance Brokers,Office,Insurance Agent,1830/1900 Unit 505 BURRARD ST,Vancouver,Downtown,80.0,250.0
24,The New Jobsite Ltd,,Office,Other,300 Unit 3665 KINGSWAY,Vancouver,Renfrew-Collingwood,1.0,250.0
24,Advance Environmental Ltd,,Office,Consultant,,Vancouver,Riley Park,1.0,250.0
24,Michael D Manhas Law Corporation,,Office,Barrister & Solicitor,1800 Unit 510 W GEORGIA ST,Vancouver,Downtown,1.0,250.0
24,Trans Orbit Canada Tours Inc,,Office,Administration,272 E 22nd Av,Vancouver,Riley Park,2.0,250.0
24,Benjamin J Cabott (Benjamin Cabott),Borden Ladner Gervais LLP,Office,Barrister & Solicitor,1200 Unit 200 BURRARD ST,Vancouver,Downtown,1.0,250.0
24,Ryan M Laity (Ryan Laity),Borden Ladner Gervais LLP,Office,Barrister & Solicitor,1200 Unit 200 BURRARD ST,Vancouver,Downtown,1.0,250.0
24,Michael S Allen Law Corporation,Farris LLP,Office,Barrister & Solicitor,2500 Unit 700 W GEORGIA ST,Vancouver,Downtown,184.0,250.0
24,CMJC Law Corporation,,Office,Barrister & Solicitor,850 Unit 1095 W Pender St,Vancouver,Downtown,3.0,250.0
24,Line2 Interiors Ltd,,Office,Interior Design/Decorator,300 Unit 5704 BALSAM ST,Vancouver,Kerrisdale,1.0,292.0
24,Amazon Canada Fulfillment Services ULC,,Office,Administration,402 DUNSMUIR ST,Vancouver,,94.0,250.0
24,MVS Immigration Inc,My Visa Services,Office,Consultant,400 Unit 601 W BROADWAY,Vancouver,Fairview,4.0,250.0
24,(Robert Shackleford),RSJS Consulting,Office,Architect,,Vancouver,West End,1.0,250.0
24,Ensero Holdings Canada Inc,Ensero Solutions Canada Inc,Office,Consultant,410 Unit 885 DUNSMUIR ST,Vancouver,Downtown,10.0,250.0
24,Orogen Royalties Inc,,Office,Mining Exploration,1015 Unit 789 W PENDER ST,Vancouver,Downtown,5.0,250.0
24,Pace Creative Group Ltd,,Office,Other,603 Suite 55 E CORDOVA ST,Vancouver,Downtown,6.0,250.0
24,Steven Lukas Law Corporation,Harper Grey LLP,Office,Barrister & Solicitor,3200 Unit 650 W GEORGIA ST,Vancouver,Downtown,1.0,250.0
24,Georgia Pacific Holdings Corp,,Office,Real Estate Development/Investment,1300 Unit 1500 W GEORGIA ST,Vancouver,West End,2.0,292.0
