ID,Business name,Retail category,Geo Local Area,Address
853,Rain or Shine,Convenience Goods,Riley Park,3382 CAMBIE ST
854,Lemonade Gluten Free Bakery Ltd,Convenience Goods,South Cambie,3385 CAMBIE ST
856,Edward Jones Investments,Service Commercial,Riley Park,3388 CAMBIE ST
857,Elbarbero Grooming Lounge Inc,Service Commercial,South Cambie,3395 CAMBIE ST
865,Viet House Incorporated,Food & Beverage,Riley Park,3420 CAMBIE ST
866,Potluck Hawkers Eatery,Food & Beverage,Riley Park,3424 CAMBIE ST
867,Xing Fu Tang,Convenience Goods,Riley Park,3432 CAMBIE ST
869,Honey Gifts,Convenience Goods,Riley Park,3448 CAMBIE ST
870,Black Dog Video,Service Commercial,South Cambie,3451 CAMBIE ST
873,Monsoon Curry Indian Restaurant & Bar,Food & Beverage,Riley Park,3466 CAMBIE ST
877,Sushi 7,Food & Beverage,Riley Park,3488 CAMBIE ST
880,Corner 23 Restaurant,Food & Beverage,Riley Park,4008 CAMBIE ST
892,Bank of Nova Scotia,Service Commercial,Riley Park,100 4088 CAMBIE ST
895,Vancity,Service Commercial,Fairview,501 W 10TH AV
967,Mr Rea's Cleaner,Service Commercial,Mount Pleasant,493 W 16TH AV
974,Sharpening House,Comparison Goods,Fairview,111 511 W 7TH AV
975,Zalon salon,Service Commercial,Fairview,113 511 W 7TH AV
977,Shaktea,Food & Beverage,Fairview,117 511 W 7TH AV
978,Westland Insurance,Service Commercial,Mount Pleasant,402 W 8TH AV
980,Freshcuts Vancouver,Service Commercial,Mount Pleasant,422 W 8TH AV
984,UBS Barbershop,Service Commercial,Mount Pleasant,438 W 8TH AV
988,Avis/Budget,Automotive Goods & Services,Mount Pleasant,451 W 8TH AV
995,Winners,Comparison Goods,Mount Pleasant,491 W 8TH AV
1004,Lumiere Cafe,Food & Beverage,Fairview,521 W BROADWAY
1007,Snore MD Sleep Apnea Clinic,Service Commercial,Fairview,541 W BROADWAY
1008,Menya juémon,Food & Beverage,Fairview,545 W BROADWAY
1011,Champlain Eye Care,Service Commercial,Killarney,138 3150 E 54TH AV
1014,Bliss Beauty Bar,Service Commercial,Killarney,180 3150 E 54TH AV
1015,Champlain Animal Clinic,Service Commercial,Killarney,190 3150 E 54TH AV
1020,Sushi Go,Food & Beverage,Killarney,7026 KERR ST
1021,Great Clips,Service Commercial,Killarney,7038 KERR ST
1024,La Maison Saigon,Food & Beverage,Killarney,7056 KERR ST
1027,A&W Restaurant,Food & Beverage,Killarney,7092 KERR ST
1033,Bank of Montreal,Service Commercial,Killarney,7150 KERR ST
1038,Champlain Shoe Repair,Service Commercial,Killarney,120 7180 KERR ST
1040,Bonnies Bread,Convenience Goods,Killarney,150 7180 KERR ST
1042,Freedom Mobile,Service Commercial,Killarney,190 7180 KERR ST
1043,Your Independent Grocer,Convenience Goods,Killarney,7190 KERR ST
1047,West Hotel Pub,Food & Beverage,Downtown,488 CARRALL ST
1049,Erin Templeton,Comparison Goods,Downtown,511 CARRALL ST
1051,Kool Thing Vintage,Comparison Goods,Downtown,430 COLUMBIA ST
